"Year","Age","Ethnic","Sex","count"
2006,10,"Maori","Male",34368
2006,10,"Maori","Female",32421
2006,10,"Pacific Peoples","Male",16335
2006,10,"Pacific Peoples","Female",15663
2006,10,"Asian","Male",14814
2006,10,"Asian","Female",13863
2006,10,"MELAA","Male",1542
2006,10,"MELAA","Female",1500
2006,10,"Other","Male",14253
2006,10,"Other","Female",12987
2006,10,"Not Elsewhere Included","Male",5685
2006,10,"Not Elsewhere Included","Female",5646
2006,15,"European","Male",95625
2006,15,"European","Female",96522
2006,15,"Maori","Male",29085
2006,15,"Maori","Female",29556
2006,15,"Pacific Peoples","Male",14082
2006,15,"Pacific Peoples","Female",13875
2006,15,"Asian","Male",17298
2006,15,"Asian","Female",17286
2006,15,"MELAA","Male",2037
2006,15,"MELAA","Female",1740
